"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 23:11:08 GMT 2021","Sat Aug 21 23:11:23 GMT 2021","15370","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Sat Aug 21 23:12:15 GMT 2021","Sat Aug 21 23:12:28 GMT 2021","13292","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Sat Aug 21 23:11:55 GMT 2021","Sat Aug 21 23:12:05 GMT 2021","9693","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"passed","Sat Aug 21 23:11:23 GMT 2021","Sat Aug 21 23:11:35 GMT 2021","11147","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"failed","Sat Aug 21 23:10:54 GMT 2021","Sat Aug 21 23:11:08 GMT 2021","14249","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Sat Aug 21 23:12:05 GMT 2021","Sat Aug 21 23:12:15 GMT 2021","9932","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Sat Aug 21 23:09:24 GMT 2021","Sat Aug 21 23:09:46 GMT 2021","21712","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Sat Aug 21 23:08:22 GMT 2021","Sat Aug 21 23:08:49 GMT 2021","26855","","professionPageTest.SearchTest","","professionPageTest.SearchTest","testSimpleSearch","TCP04 Keresési eredmények számának ellenőrzése",""
"passed","Sat Aug 21 23:09:15 GMT 2021","Sat Aug 21 23:09:24 GMT 2021","9861","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Sat Aug 21 23:10:25 GMT 2021","Sat Aug 21 23:10:54 GMT 2021","28642","","professionPageTest.CV_PageTest","","professionPageTest.CV_PageTest","testSuccessfulLogin","TCP07	Telefonszám módosítása az önéletrajzi adatokban",""
"passed","Sat Aug 21 23:11:35 GMT 2021","Sat Aug 21 23:11:55 GMT 2021","20797","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Sat Aug 21 23:08:49 GMT 2021","Sat Aug 21 23:09:06 GMT 2021","17052","","professionPageTest.SearchTest","","professionPageTest.SearchTest","testCardsContent01","TCP05 Keresési eredmények tartalmának ellenőrzése1",""
"failed","Sat Aug 21 23:09:06 GMT 2021","Sat Aug 21 23:09:14 GMT 2021","8421","","professionPageTest.SearchTest","","professionPageTest.SearchTest","testCardsContent02","TCP06 Keresési eredmények tartalmának ellenőrzése2",""
"passed","Sat Aug 21 23:09:46 GMT 2021","Sat Aug 21 23:10:25 GMT 2021","39073","","professionPageTest.CV_PageTest","","professionPageTest.CV_PageTest","testPhoneNumberFormats","TCP08	Telefonszám formátumok elfogadásának ellenőrzése sorozatos adatmódosítással",""
