"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 19 10:46:32 GMT 2021","Thu Aug 19 10:47:04 GMT 2021","32201","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Thu Aug 19 10:49:15 GMT 2021","Thu Aug 19 10:49:24 GMT 2021","9429","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Thu Aug 19 10:49:24 GMT 2021","Thu Aug 19 10:49:38 GMT 2021","13937","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Thu Aug 19 10:47:24 GMT 2021","Thu Aug 19 10:47:34 GMT 2021","10817","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Thu Aug 19 10:47:04 GMT 2021","Thu Aug 19 10:47:24 GMT 2021","19203","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Thu Aug 19 10:49:05 GMT 2021","Thu Aug 19 10:49:15 GMT 2021","9351","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"passed","Thu Aug 19 10:47:53 GMT 2021","Thu Aug 19 10:48:19 GMT 2021","25778","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout","TCP02	Sikeres kijelentkezés - Logout"
"passed","Thu Aug 19 10:48:43 GMT 2021","Thu Aug 19 10:48:54 GMT 2021","10946","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Thu Aug 19 10:48:29 GMT 2021","Thu Aug 19 10:48:43 GMT 2021","13333","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"failed","Thu Aug 19 10:48:19 GMT 2021","Thu Aug 19 10:48:29 GMT 2021","10204","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"broken","Thu Aug 19 10:48:54 GMT 2021","Thu Aug 19 10:49:05 GMT 2021","11571","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Thu Aug 19 10:47:34 GMT 2021","Thu Aug 19 10:47:53 GMT 2021","19065","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
