"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 23:20:17 GMT 2021","Wed Aug 18 23:20:26 GMT 2021","9424","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"failed","Wed Aug 18 23:19:26 GMT 2021","Wed Aug 18 23:19:37 GMT 2021","10569","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Wed Aug 18 23:19:50 GMT 2021","Wed Aug 18 23:20:01 GMT 2021","11177","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"broken","Wed Aug 18 23:18:39 GMT 2021","Wed Aug 18 23:18:43 GMT 2021","3845","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Wed Aug 18 23:19:37 GMT 2021","Wed Aug 18 23:19:50 GMT 2021","12477","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Wed Aug 18 23:18:43 GMT 2021","Wed Aug 18 23:18:53 GMT 2021","10239","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"broken","Wed Aug 18 23:18:27 GMT 2021","Wed Aug 18 23:18:39 GMT 2021","11751","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Wed Aug 18 23:20:36 GMT 2021","Wed Aug 18 23:20:48 GMT 2021","12177","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Wed Aug 18 23:20:26 GMT 2021","Wed Aug 18 23:20:36 GMT 2021","9318","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Wed Aug 18 23:19:07 GMT 2021","Wed Aug 18 23:19:26 GMT 2021","19735","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout",""
"passed","Wed Aug 18 23:18:53 GMT 2021","Wed Aug 18 23:19:07 GMT 2021","13585","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Wed Aug 18 23:20:01 GMT 2021","Wed Aug 18 23:20:17 GMT 2021","16062","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
