"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 19:36:46 GMT 2021","Tue Aug 17 19:36:46 GMT 2021","179","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Tue Aug 17 19:36:47 GMT 2021","Tue Aug 17 19:36:47 GMT 2021","158","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginDocument01Exists","TCG04 Testing to read terms and conditions",""
"broken","Tue Aug 17 19:36:46 GMT 2021","Tue Aug 17 19:36:46 GMT 2021","160","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Tue Aug 17 19:36:46 GMT 2021","Tue Aug 17 19:36:46 GMT 2021","140","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Tue Aug 17 19:36:39 GMT 2021","Tue Aug 17 19:36:46 GMT 2021","6538","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Tue Aug 17 19:36:46 GMT 2021","Tue Aug 17 19:36:47 GMT 2021","134","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Tue Aug 17 19:36:47 GMT 2021","Tue Aug 17 19:36:47 GMT 2021","168","","gameTest.GLoginTest","","gameTest.GLoginTest","testSuccessfullLogin","TCG01 Testing to successful login",""
"broken","Tue Aug 17 19:36:46 GMT 2021","Tue Aug 17 19:36:46 GMT 2021","157","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
