"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 09:10:47 GMT 2021","Wed Aug 18 09:10:49 GMT 2021","2187","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"broken","Wed Aug 18 09:10:57 GMT 2021","Wed Aug 18 09:10:59 GMT 2021","2115","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"broken","Wed Aug 18 09:10:45 GMT 2021","Wed Aug 18 09:10:47 GMT 2021","2630","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"broken","Wed Aug 18 09:10:35 GMT 2021","Wed Aug 18 09:10:38 GMT 2021","3296","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Wed Aug 18 09:10:53 GMT 2021","Wed Aug 18 09:10:55 GMT 2021","2344","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"broken","Wed Aug 18 09:10:31 GMT 2021","Wed Aug 18 09:10:35 GMT 2021","3311","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Wed Aug 18 09:10:38 GMT 2021","Wed Aug 18 09:10:41 GMT 2021","3287","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Wed Aug 18 09:10:14 GMT 2021","Wed Aug 18 09:10:27 GMT 2021","13410","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Wed Aug 18 09:10:27 GMT 2021","Wed Aug 18 09:10:31 GMT 2021","4270","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Wed Aug 18 09:10:59 GMT 2021","Wed Aug 18 09:11:01 GMT 2021","2110","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"broken","Wed Aug 18 09:10:55 GMT 2021","Wed Aug 18 09:10:57 GMT 2021","2217","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"broken","Wed Aug 18 09:10:41 GMT 2021","Wed Aug 18 09:10:45 GMT 2021","3263","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 09:10:49 GMT 2021","Wed Aug 18 09:10:53 GMT 2021","3174","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
