"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 17:43:23 GMT 2021","Fri Aug 20 17:43:36 GMT 2021","13420","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Fri Aug 20 17:44:15 GMT 2021","Fri Aug 20 17:44:25 GMT 2021","9455","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"failed","Fri Aug 20 17:43:08 GMT 2021","Fri Aug 20 17:43:23 GMT 2021","14511","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"broken","Fri Aug 20 17:42:41 GMT 2021","Fri Aug 20 17:42:45 GMT 2021","4191","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Fri Aug 20 17:43:36 GMT 2021","Fri Aug 20 17:43:48 GMT 2021","11163","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"broken","Fri Aug 20 17:42:27 GMT 2021","Fri Aug 20 17:42:32 GMT 2021","4236","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Fri Aug 20 17:43:48 GMT 2021","Fri Aug 20 17:44:06 GMT 2021","18056","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Fri Aug 20 17:42:32 GMT 2021","Fri Aug 20 17:42:41 GMT 2021","9372","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Fri Aug 20 17:44:25 GMT 2021","Fri Aug 20 17:44:37 GMT 2021","11976","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"failed","Fri Aug 20 17:42:08 GMT 2021","Fri Aug 20 17:42:27 GMT 2021","19739","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Fri Aug 20 17:42:45 GMT 2021","Fri Aug 20 17:43:08 GMT 2021","23218","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout  - @DisplayName","TCP02	Sikeres kijelentkezés - Logout  - @Description"
"passed","Fri Aug 20 17:44:06 GMT 2021","Fri Aug 20 17:44:15 GMT 2021","9681","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
