"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 00:22:46 GMT 2021","Thu Aug 19 00:22:57 GMT 2021","10691","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Thu Aug 19 00:22:05 GMT 2021","Thu Aug 19 00:22:23 GMT 2021","17756","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Thu Aug 19 00:22:57 GMT 2021","Thu Aug 19 00:23:09 GMT 2021","11840","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"failed","Thu Aug 19 00:22:23 GMT 2021","Thu Aug 19 00:22:34 GMT 2021","10731","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Thu Aug 19 00:23:28 GMT 2021","Thu Aug 19 00:23:40 GMT 2021","12102","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Thu Aug 19 00:22:34 GMT 2021","Thu Aug 19 00:22:46 GMT 2021","12415","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Thu Aug 19 00:23:09 GMT 2021","Thu Aug 19 00:23:18 GMT 2021","9843","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"passed","Thu Aug 19 00:23:18 GMT 2021","Thu Aug 19 00:23:28 GMT 2021","9574","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Thu Aug 19 00:21:39 GMT 2021","Thu Aug 19 00:21:54 GMT 2021","14400","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"failed","Thu Aug 19 00:21:39 GMT 2021","Thu Aug 19 00:22:05 GMT 2021","25560","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Thu Aug 19 00:22:09 GMT 2021","Thu Aug 19 00:22:32 GMT 2021","22700","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout",""
"passed","Thu Aug 19 00:21:54 GMT 2021","Thu Aug 19 00:22:09 GMT 2021","15519","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
