"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 10:30:44 GMT 2021","Thu Aug 19 10:30:56 GMT 2021","11802","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Thu Aug 19 10:30:56 GMT 2021","Thu Aug 19 10:31:15 GMT 2021","19106","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Thu Aug 19 10:32:50 GMT 2021","Thu Aug 19 10:33:03 GMT 2021","12700","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"failed","Thu Aug 19 10:29:45 GMT 2021","Thu Aug 19 10:30:25 GMT 2021","40643","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Thu Aug 19 10:32:07 GMT 2021","Thu Aug 19 10:32:20 GMT 2021","12671","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Thu Aug 19 10:32:31 GMT 2021","Thu Aug 19 10:32:41 GMT 2021","9615","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"failed","Thu Aug 19 10:31:44 GMT 2021","Thu Aug 19 10:31:55 GMT 2021","11251","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Thu Aug 19 10:30:26 GMT 2021","Thu Aug 19 10:30:44 GMT 2021","18252","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Thu Aug 19 10:31:15 GMT 2021","Thu Aug 19 10:31:44 GMT 2021","28991","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout","TCP02	Sikeres kijelentkezés - Logout"
"passed","Thu Aug 19 10:32:41 GMT 2021","Thu Aug 19 10:32:50 GMT 2021","9613","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"broken","Thu Aug 19 10:31:55 GMT 2021","Thu Aug 19 10:32:07 GMT 2021","11888","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"broken","Thu Aug 19 10:32:20 GMT 2021","Thu Aug 19 10:32:31 GMT 2021","11532","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
