"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 10:40:45 GMT 2021","Fri Aug 13 10:40:45 GMT 2021","161","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Fri Aug 13 10:40:45 GMT 2021","Fri Aug 13 10:40:45 GMT 2021","155","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Fri Aug 13 10:40:45 GMT 2021","Fri Aug 13 10:40:45 GMT 2021","179","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Fri Aug 13 10:40:46 GMT 2021","Fri Aug 13 10:40:46 GMT 2021","167","","gameTest.GLoginTest","","gameTest.GLoginTest","testSuccessfullLogin","TCG01 Testing to successful login",""
"broken","Fri Aug 13 10:40:46 GMT 2021","Fri Aug 13 10:40:47 GMT 2021","141","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginWithoutCheckboxClicked","TCG02 Testing try to login without accept terms and conditions",""
"broken","Fri Aug 13 10:40:46 GMT 2021","Fri Aug 13 10:40:46 GMT 2021","216","","login.DropdownTest","","login.DropdownTest","testSelectWorkingStatus","testSelectWorkingStatus()",""
"broken","Fri Aug 13 10:40:46 GMT 2021","Fri Aug 13 10:40:46 GMT 2021","144","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Fri Aug 13 10:40:46 GMT 2021","Fri Aug 13 10:40:46 GMT 2021","163","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginWithInvalidEmailFormat","TCG03 Testing try to login with invalid e-mail format",""
"broken","Fri Aug 13 10:40:45 GMT 2021","Fri Aug 13 10:40:46 GMT 2021","205","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Fri Aug 13 10:40:36 GMT 2021","Fri Aug 13 10:40:45 GMT 2021","8756","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Fri Aug 13 10:40:47 GMT 2021","Fri Aug 13 10:40:47 GMT 2021","186","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginDocument01Exists","TCG04 Testing to read terms and conditions",""
