"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 12:52:08 GMT 2021","Thu Aug 19 12:52:26 GMT 2021","17350","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Thu Aug 19 12:51:58 GMT 2021","Thu Aug 19 12:52:08 GMT 2021","10186","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"broken","Thu Aug 19 12:53:26 GMT 2021","Thu Aug 19 12:53:40 GMT 2021","13724","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Thu Aug 19 12:53:40 GMT 2021","Thu Aug 19 12:53:49 GMT 2021","9528","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"failed","Thu Aug 19 12:52:50 GMT 2021","Thu Aug 19 12:53:01 GMT 2021","11714","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Thu Aug 19 12:51:35 GMT 2021","Thu Aug 19 12:51:58 GMT 2021","22931","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Thu Aug 19 12:53:49 GMT 2021","Thu Aug 19 12:53:59 GMT 2021","9497","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Thu Aug 19 12:52:26 GMT 2021","Thu Aug 19 12:52:50 GMT 2021","24017","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout","TCP02	Sikeres kijelentkezés - Logout"
"passed","Thu Aug 19 12:53:01 GMT 2021","Thu Aug 19 12:53:15 GMT 2021","13705","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Thu Aug 19 12:53:15 GMT 2021","Thu Aug 19 12:53:26 GMT 2021","10778","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"failed","Thu Aug 19 12:51:01 GMT 2021","Thu Aug 19 12:51:35 GMT 2021","33779","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Thu Aug 19 12:53:59 GMT 2021","Thu Aug 19 12:54:11 GMT 2021","12824","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
