"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 10:39:31 GMT 2021","Wed Aug 18 10:39:35 GMT 2021","3283","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Wed Aug 18 10:39:35 GMT 2021","Wed Aug 18 10:39:38 GMT 2021","3256","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Wed Aug 18 10:39:58 GMT 2021","Wed Aug 18 10:40:01 GMT 2021","3373","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"broken","Wed Aug 18 10:40:01 GMT 2021","Wed Aug 18 10:40:05 GMT 2021","3166","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"broken","Wed Aug 18 10:39:41 GMT 2021","Wed Aug 18 10:39:44 GMT 2021","3238","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 10:40:05 GMT 2021","Wed Aug 18 10:40:08 GMT 2021","3130","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"broken","Wed Aug 18 10:39:38 GMT 2021","Wed Aug 18 10:39:41 GMT 2021","3255","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Wed Aug 18 10:39:44 GMT 2021","Wed Aug 18 10:39:48 GMT 2021","3738","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"broken","Wed Aug 18 10:39:51 GMT 2021","Wed Aug 18 10:39:55 GMT 2021","3190","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"broken","Wed Aug 18 10:39:26 GMT 2021","Wed Aug 18 10:39:31 GMT 2021","5074","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Wed Aug 18 10:36:55 GMT 2021","Wed Aug 18 10:39:26 GMT 2021","150863","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Wed Aug 18 10:39:55 GMT 2021","Wed Aug 18 10:39:58 GMT 2021","3429","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"broken","Wed Aug 18 10:39:48 GMT 2021","Wed Aug 18 10:39:51 GMT 2021","3321","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
