"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 20:22:54 GMT 2021","Sun Aug 22 20:23:20 GMT 2021","25887","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Sun Aug 22 20:23:49 GMT 2021","Sun Aug 22 20:24:38 GMT 2021","48820","","professionPageTest.CV_PageTest","","professionPageTest.CV_PageTest","testPhoneNumberFormats","TCP08	Telefonszám formátumok elfogadásának ellenőrzése sorozatos adatmódosítással",""
"passed","Sun Aug 22 20:24:38 GMT 2021","Sun Aug 22 20:25:11 GMT 2021","33213","","professionPageTest.CV_PageTest","","professionPageTest.CV_PageTest","testSuccessfulLogin","TCP07	Telefonszám módosítása az önéletrajzi adatokban",""
"passed","Sun Aug 22 20:24:37 GMT 2021","Sun Aug 22 20:24:52 GMT 2021","14795","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"failed","Sun Aug 22 20:23:52 GMT 2021","Sun Aug 22 20:24:04 GMT 2021","11929","","professionPageTest.SearchTest","","professionPageTest.SearchTest","testCardsContent02","TCP06 Keresési eredmények tartalmának ellenőrzése2",""
"failed","Sun Aug 22 20:24:04 GMT 2021","Sun Aug 22 20:24:20 GMT 2021","16257","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Sun Aug 22 20:24:20 GMT 2021","Sun Aug 22 20:24:37 GMT 2021","17044","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Sun Aug 22 20:22:55 GMT 2021","Sun Aug 22 20:23:27 GMT 2021","32138","","professionPageTest.SearchTest","","professionPageTest.SearchTest","testSimpleSearch","TCP04 Keresési eredmények számának ellenőrzése",""
"passed","Sun Aug 22 20:23:21 GMT 2021","Sun Aug 22 20:23:49 GMT 2021","28419","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Sun Aug 22 20:25:25 GMT 2021","Sun Aug 22 20:25:36 GMT 2021","10605","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Sun Aug 22 20:23:27 GMT 2021","Sun Aug 22 20:23:52 GMT 2021","25235","","professionPageTest.SearchTest","","professionPageTest.SearchTest","testCardsContent01","TCP05 Keresési eredmények tartalmának ellenőrzése1",""
"passed","Sun Aug 22 20:25:15 GMT 2021","Sun Aug 22 20:25:25 GMT 2021","10592","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"passed","Sun Aug 22 20:25:36 GMT 2021","Sun Aug 22 20:25:51 GMT 2021","14953","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Sun Aug 22 20:24:52 GMT 2021","Sun Aug 22 20:25:15 GMT 2021","22546","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
