"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 17:36:41 GMT 2021","Fri Aug 20 17:36:51 GMT 2021","9634","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"passed","Fri Aug 20 17:36:12 GMT 2021","Fri Aug 20 17:36:23 GMT 2021","10878","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Fri Aug 20 17:37:01 GMT 2021","Fri Aug 20 17:37:13 GMT 2021","12770","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Fri Aug 20 17:36:51 GMT 2021","Fri Aug 20 17:37:01 GMT 2021","9527","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Fri Aug 20 17:35:01 GMT 2021","Fri Aug 20 17:35:11 GMT 2021","10788","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Fri Aug 20 17:35:24 GMT 2021","Fri Aug 20 17:35:43 GMT 2021","19195","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout  - @DisplayName","TCP02	Sikeres kijelentkezés - Logout  - @Description"
"passed","Fri Aug 20 17:35:11 GMT 2021","Fri Aug 20 17:35:24 GMT 2021","12781","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Fri Aug 20 17:34:44 GMT 2021","Fri Aug 20 17:35:01 GMT 2021","16327","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Fri Aug 20 17:36:23 GMT 2021","Fri Aug 20 17:36:41 GMT 2021","18499","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Fri Aug 20 17:35:57 GMT 2021","Fri Aug 20 17:36:12 GMT 2021","14562","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"failed","Fri Aug 20 17:35:43 GMT 2021","Fri Aug 20 17:35:57 GMT 2021","13926","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"failed","Fri Aug 20 17:34:17 GMT 2021","Fri Aug 20 17:34:44 GMT 2021","27162","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
