"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 00:21:30 GMT 2021","Thu Aug 19 00:21:44 GMT 2021","13808","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Thu Aug 19 00:23:33 GMT 2021","Thu Aug 19 00:23:45 GMT 2021","11210","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Thu Aug 19 00:22:40 GMT 2021","Thu Aug 19 00:22:55 GMT 2021","15531","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"broken","Thu Aug 19 00:23:09 GMT 2021","Thu Aug 19 00:23:22 GMT 2021","13753","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Thu Aug 19 00:22:02 GMT 2021","Thu Aug 19 00:22:27 GMT 2021","25592","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout",""
"passed","Thu Aug 19 00:22:55 GMT 2021","Thu Aug 19 00:23:09 GMT 2021","13413","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Thu Aug 19 00:21:44 GMT 2021","Thu Aug 19 00:22:02 GMT 2021","18169","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"failed","Thu Aug 19 00:20:27 GMT 2021","Thu Aug 19 00:21:10 GMT 2021","43206","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"failed","Thu Aug 19 00:22:27 GMT 2021","Thu Aug 19 00:22:40 GMT 2021","12330","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Thu Aug 19 00:23:45 GMT 2021","Thu Aug 19 00:24:00 GMT 2021","14936","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Thu Aug 19 00:21:10 GMT 2021","Thu Aug 19 00:21:30 GMT 2021","19551","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Thu Aug 19 00:23:22 GMT 2021","Thu Aug 19 00:23:33 GMT 2021","10998","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
