"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 18 17:05:57 GMT 2021","Wed Aug 18 17:06:07 GMT 2021","10981","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Wed Aug 18 17:06:57 GMT 2021","Wed Aug 18 17:07:07 GMT 2021","10101","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Wed Aug 18 17:06:07 GMT 2021","Wed Aug 18 17:06:21 GMT 2021","13444","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"broken","Wed Aug 18 17:05:53 GMT 2021","Wed Aug 18 17:05:56 GMT 2021","3266","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 17:05:38 GMT 2021","Wed Aug 18 17:05:43 GMT 2021","5111","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Wed Aug 18 17:05:43 GMT 2021","Wed Aug 18 17:05:47 GMT 2021","3313","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Wed Aug 18 17:05:50 GMT 2021","Wed Aug 18 17:05:53 GMT 2021","3320","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Wed Aug 18 17:05:26 GMT 2021","Wed Aug 18 17:05:38 GMT 2021","12220","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Wed Aug 18 17:05:47 GMT 2021","Wed Aug 18 17:05:50 GMT 2021","3282","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"passed","Wed Aug 18 17:06:47 GMT 2021","Wed Aug 18 17:06:57 GMT 2021","9751","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"passed","Wed Aug 18 17:07:07 GMT 2021","Wed Aug 18 17:07:21 GMT 2021","13758","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Wed Aug 18 17:06:21 GMT 2021","Wed Aug 18 17:06:34 GMT 2021","12761","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"broken","Wed Aug 18 17:06:34 GMT 2021","Wed Aug 18 17:06:47 GMT 2021","13466","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
