"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 01:09:07 GMT 2021","Wed Aug 18 01:09:07 GMT 2021","172","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Wed Aug 18 01:09:08 GMT 2021","Wed Aug 18 01:09:08 GMT 2021","140","","gameTest.GLoginTest","","gameTest.GLoginTest","testSuccessfullLogin","TCG01 Testing to successful login",""
"broken","Wed Aug 18 01:09:05 GMT 2021","Wed Aug 18 01:09:07 GMT 2021","2141","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Wed Aug 18 01:09:07 GMT 2021","Wed Aug 18 01:09:07 GMT 2021","173","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Wed Aug 18 01:09:07 GMT 2021","Wed Aug 18 01:09:07 GMT 2021","151","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Wed Aug 18 01:09:08 GMT 2021","Wed Aug 18 01:09:08 GMT 2021","144","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 01:09:08 GMT 2021","Wed Aug 18 01:09:08 GMT 2021","163","","gameTest.GLoginTest","","gameTest.GLoginTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"broken","Wed Aug 18 01:09:08 GMT 2021","Wed Aug 18 01:09:08 GMT 2021","145","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Wed Aug 18 01:09:08 GMT 2021","Wed Aug 18 01:09:08 GMT 2021","144","","gameTest.GLoginTest","","gameTest.GLoginTest","testTermOfUseIsEnable","TCG05	Sikertelen regisztráció hibás jelszó miatt",""
