"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 11:44:43 GMT 2021","Fri Aug 13 11:44:43 GMT 2021","148","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Fri Aug 13 11:45:18 GMT 2021","Fri Aug 13 11:45:26 GMT 2021","8029","","login.DropdownTest","","login.DropdownTest","testSelectWorkingStatus","testSelectWorkingStatus()",""
"broken","Fri Aug 13 11:44:43 GMT 2021","Fri Aug 13 11:44:52 GMT 2021","9578","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Fri Aug 13 11:44:52 GMT 2021","Fri Aug 13 11:45:02 GMT 2021","10075","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Fri Aug 13 11:44:40 GMT 2021","Fri Aug 13 11:44:43 GMT 2021","2693","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Fri Aug 13 11:45:27 GMT 2021","Fri Aug 13 11:45:27 GMT 2021","134","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginDocument01Exists","TCG04 Testing to read terms and conditions",""
"broken","Fri Aug 13 11:45:26 GMT 2021","Fri Aug 13 11:45:27 GMT 2021","138","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginWithoutCheckboxClicked","TCG02 Testing try to login without accept terms and conditions",""
"broken","Fri Aug 13 11:45:09 GMT 2021","Fri Aug 13 11:45:18 GMT 2021","8937","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Fri Aug 13 11:45:26 GMT 2021","Fri Aug 13 11:45:26 GMT 2021","142","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginWithInvalidEmailFormat","TCG03 Testing try to login with invalid e-mail format",""
"broken","Fri Aug 13 11:45:26 GMT 2021","Fri Aug 13 11:45:26 GMT 2021","135","","gameTest.GLoginTest","","gameTest.GLoginTest","testSuccessfullLogin","TCG01 Testing to successful login",""
"broken","Fri Aug 13 11:45:02 GMT 2021","Fri Aug 13 11:45:09 GMT 2021","6733","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
