"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 14:35:19 GMT 2021","Wed Aug 18 14:35:38 GMT 2021","19243","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"broken","Wed Aug 18 14:34:30 GMT 2021","Wed Aug 18 14:34:33 GMT 2021","3319","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"failed","Wed Aug 18 14:34:43 GMT 2021","Wed Aug 18 14:34:54 GMT 2021","10848","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"passed","Wed Aug 18 14:35:38 GMT 2021","Wed Aug 18 14:35:48 GMT 2021","9297","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"broken","Wed Aug 18 14:34:25 GMT 2021","Wed Aug 18 14:34:30 GMT 2021","5241","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Wed Aug 18 14:35:57 GMT 2021","Wed Aug 18 14:36:11 GMT 2021","13490","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"broken","Wed Aug 18 14:34:40 GMT 2021","Wed Aug 18 14:34:43 GMT 2021","3275","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 14:34:33 GMT 2021","Wed Aug 18 14:34:37 GMT 2021","3299","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"passed","Wed Aug 18 14:35:48 GMT 2021","Wed Aug 18 14:35:57 GMT 2021","9308","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"broken","Wed Aug 18 14:34:37 GMT 2021","Wed Aug 18 14:34:40 GMT 2021","3271","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Wed Aug 18 14:34:13 GMT 2021","Wed Aug 18 14:34:25 GMT 2021","11317","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Wed Aug 18 14:35:08 GMT 2021","Wed Aug 18 14:35:19 GMT 2021","11368","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Wed Aug 18 14:34:54 GMT 2021","Wed Aug 18 14:35:08 GMT 2021","13630","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
