"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 14:29:45 GMT 2021","Wed Aug 18 14:29:55 GMT 2021","9541","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"broken","Wed Aug 18 14:28:39 GMT 2021","Wed Aug 18 14:28:42 GMT 2021","3252","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Wed Aug 18 14:28:15 GMT 2021","Wed Aug 18 14:28:28 GMT 2021","12131","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"failed","Wed Aug 18 14:28:45 GMT 2021","Wed Aug 18 14:28:56 GMT 2021","10599","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
"broken","Wed Aug 18 14:29:22 GMT 2021","Wed Aug 18 14:29:35 GMT 2021","13810","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"broken","Wed Aug 18 14:28:28 GMT 2021","Wed Aug 18 14:28:32 GMT 2021","4590","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Wed Aug 18 14:29:09 GMT 2021","Wed Aug 18 14:29:22 GMT 2021","13064","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"passed","Wed Aug 18 14:28:56 GMT 2021","Wed Aug 18 14:29:09 GMT 2021","12587","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"passed","Wed Aug 18 14:29:35 GMT 2021","Wed Aug 18 14:29:45 GMT 2021","9572","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"broken","Wed Aug 18 14:28:36 GMT 2021","Wed Aug 18 14:28:39 GMT 2021","3269","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Wed Aug 18 14:28:42 GMT 2021","Wed Aug 18 14:28:45 GMT 2021","3257","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Wed Aug 18 14:29:55 GMT 2021","Wed Aug 18 14:30:07 GMT 2021","12448","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"broken","Wed Aug 18 14:28:32 GMT 2021","Wed Aug 18 14:28:36 GMT 2021","3286","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
