"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 12 18:53:10 GMT 2021","Thu Aug 12 18:53:11 GMT 2021","146","","login.DropdownTest","","login.DropdownTest","testSelectWorkingStatus","testSelectWorkingStatus()",""
"broken","Thu Aug 12 18:53:11 GMT 2021","Thu Aug 12 18:53:11 GMT 2021","151","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginDocument01Exists","TCG04 Testing to read terms and conditions",""
"broken","Thu Aug 12 18:53:05 GMT 2021","Thu Aug 12 18:53:09 GMT 2021","4625","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"broken","Thu Aug 12 18:53:10 GMT 2021","Thu Aug 12 18:53:10 GMT 2021","192","","login.SignInTest","","login.SignInTest","testSigninWithIncorrectEmail","testSigninWithIncorrectEmail()",""
"broken","Thu Aug 12 18:53:10 GMT 2021","Thu Aug 12 18:53:10 GMT 2021","139","","login.SignInTest","","login.SignInTest","testSuccessfulSignin","testSuccessfulSignin()",""
"broken","Thu Aug 12 18:53:09 GMT 2021","Thu Aug 12 18:53:10 GMT 2021","173","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"broken","Thu Aug 12 18:53:11 GMT 2021","Thu Aug 12 18:53:11 GMT 2021","140","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginWithInvalidEmailFormat","TCG03 Testing try to login with invalid e-mail format",""
"broken","Thu Aug 12 18:53:11 GMT 2021","Thu Aug 12 18:53:11 GMT 2021","138","","gameTest.GLoginTest","","gameTest.GLoginTest","testLoginWithoutCheckboxClicked","TCG02 Testing try to login without accept terms and conditions",""
"broken","Thu Aug 12 18:53:10 GMT 2021","Thu Aug 12 18:53:10 GMT 2021","216","","login.PLoginTests","","login.PLoginTests","testLoginWithInvalidEmailaddress","testLoginWithInvalidEmailaddress()",""
"broken","Thu Aug 12 18:53:10 GMT 2021","Thu Aug 12 18:53:10 GMT 2021","137","","login.PLoginTests","","login.PLoginTests","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Thu Aug 12 18:53:11 GMT 2021","Thu Aug 12 18:53:11 GMT 2021","141","","gameTest.GLoginTest","","gameTest.GLoginTest","testSuccessfullLogin","TCG01 Testing to successful login",""
